"","name","state","county","acres","start_date","containment_date","notes","percent_forest_cover","population_2020","county_size_acres","forest_cover_acres"
"205","Hill","California","Humboldt","7224","July 15","August 14","Caused 5 injuries",63.68,136264,2294291.2,1461004.63616
"206","Texas","Idaho","Latah","1565","July 15","August","Caused by human activity.",35.27,40616,689139.2,243059.39584
"207","Cougar Creek","Washington","Asotin","24095","July 15","August 29","",13.59,22469,409881.6,55702.90944
"208","Cougar Creek","Washington","Garfield","24095","July 15","August 29","",13.12,2322,459705.6,60313.37472
"209","Happy","California","Fresno","12543","July 16","November 15","Burned in the Monarch Wilderness and Kings Canyon National Park. Started by lightning.",11.27,1029488,3847123.2,433570.78464
"210","Diamond Complex","Oregon","Douglas","11141","July 16","2024","12 Lightning-caused fires.",61.2,112445,3239430.4,1982531.4048
"211","Ore","Oregon","Lane","3479","July 16","September 26","Under Investigation.",63.9,388866,2954976,1888229.664
"212","Ore","Oregon","Linn","3479","July 16","September 26","Under Investigation.",51.3,132465,1477670.4,758044.9152
"213","Swawilla","Washington","Ferry","53462","July 17","August 15","Closed State Route 21 and Keller Ferry, evacuations  of Keller and the Buffalo Lake area",42.46,7174,1444742.4,613437.62304
"214","Red","Oregon","Klamath","3060","July 17","November 12","Lightning-caused fire.",27.98,70238,3927820.8,1099004.25984
"215","Battle Mountain Complex","Oregon","Umatilla","183026","July 17","August 20","Lightning-caused. Originally consisting of the North Fork Owens and Snake Fires, the Monkey Creek and Boneyard fires also merged into the complex.",18.07,81616,2068172.8,373718.82496
"216","Battle Mountain Complex","Oregon","Grant","183026","July 17","August 20","Lightning-caused. Originally consisting of the North Fork Owens and Snake Fires, the Monkey Creek and Boneyard fires also merged into the complex.",28.93,7186,2898252.8,838464.53504
"217","Battle Mountain Complex","Oregon","Morrow","183026","July 17","August 20","Lightning-caused. Originally consisting of the North Fork Owens and Snake Fires, the Monkey Creek and Boneyard fires also merged into the complex.",9.41,12670,1310502.4,123318.27584
"218","Chalk","Oregon","Lane","5991","July 17","September 14","Part of the Oakridge Lightning Fires Complex.",63.9,388866,2954976,1888229.664
"219","Coffeepot","Oregon","Lane","6176","July 17","August 23","Part of the Oakridge Lightning Fires Complex.",63.9,388866,2954976,1888229.664
"220","Coombes Canyon","Oregon","Umatilla","3224","July 17","July 22","Lightning-caused.",18.07,81616,2068172.8,373718.82496
"221","Durkee","Oregon","Baker","268492","July 17","August 7","2024 Oregon wildfires",18.4,16857,1976307.2,363640.5248
"222","Rabbit","Arizona","Coconino","3016","July 17","July 26","",9.39,148808,11943289.6,1121474.89344
"223","Lane 1","Oregon","Douglas","25951","July 17","November 10","",61.2,112445,3239430.4,1982531.4048
"224","Lane 1","Oregon","Lane","25951","July 17","November 10","",63.9,388866,2954976,1888229.664
"225","Middle Fork","Oregon","Douglas","5286","July 17","October 31","Mostly located inside Crater Lake National Park, closing the north entrance.",61.2,112445,3239430.4,1982531.4048
"226","Middle Fork","Oregon","Klamath","5286","July 17","October 31","Mostly located inside Crater Lake National Park, closing the north entrance.",27.98,70238,3927820.8,1099004.25984
"227","Pilot Rock","Oregon","Umatilla","11349","July 17","July 26","Lightning-caused.",18.07,81616,2068172.8,373718.82496
"228","Moss Mountain","Oregon","Lane","2849","July 17","October 25","Lightning-caused.",63.9,388866,2954976,1888229.664
"229","208","Oregon","Lane","11263","July 17","October 25","Lightning-caused fire.",63.9,388866,2954976,1888229.664
"230","Pyramid","Oregon","Linn","1312","July 17","September 24","Lightning-caused fire.",51.3,132465,1477670.4,758044.9152
"231","Twin Springs","Oregon","Malheur","2815","July 17","July 18","",1.77,31787,6355072,112484.7744
"232","Tanques","New Mexico","Rio Arriba","6500","July 18","August 21","Caused by lightning.",16.81,40094,3773561.6,634335.70496
"233","Horse Heaven Creek","Oregon","Lane","3198","July 18","November 6","Part of Homestead Complex.",63.9,388866,2954976,1888229.664
"234","No Man","Oregon","Lane","2148","July 18","November","Part of Homestead Complex.",63.9,388866,2954976,1888229.664
"235","Clearwater","Wyoming","Park","1966","July 19","December","2024 Wyoming wildfires – Damage costs estimated to be over $10,000,000.[5]",19.73,30215,4457696,879503.4208
"236","Miners Complex","Washington","Snohomish","1098","July 19","October 31","",57.47,858614,1347161.6,774213.77152
"237","Miners Complex","Washington","Skagit","1098","July 19","October 31","",56.44,133064,1120620.8,632478.37952
"238","Bridge Creek","Washington","Ferry","3998","July 19","August 4","",42.46,7174,1444742.4,613437.62304
"239","Ridge","California","Lake","2756","July 20","July 29","",24.25,68477,849984,206121.12
"240","Ridge","California","Colusa","2756","July 20","July 29","",13.26,21969,740064,98132.4864
"241","Whisky Creek","Oregon","Hood River","3240","July 20","October 31","",57.02,24466,341376,194652.5952
"242","Fuller Lake","Oregon","Douglas","6378","July 20","November 5","Part of Homestead Complex.",61.2,112445,3239430.4,1982531.4048
"243","Allen Trap","Arizona","Gila","1649","July 20","August 24","2024 Arizona wildfires – Estimated damage costs over $20,000.[5]",15.77,53901,3068684.8,483931.59296
"244","Eagle","California","Riverside","1710","July 21","July 23","",3.63,2483025,4673932.8,169663.76064
"245","Courtrock","Oregon","Grant","20019","July 21","August 17","Lightning caused.",28.93,7186,2898252.8,838464.53504
"246","Davin Road","Washington","Franklin","1948","July 21","July","",5.56,101793,809574.4,45012.33664
"247","Gold Complex","California","Plumas","3007","July 22","August 4","Comprised the Smith and Mill fires.",34.24,19409,1672601.6,572698.78784
"248","Black Canyon","Washington","Yakima","9211","July 22","August 1","",24.69,259982,2758662.4,681113.74656
"249","Badlands Complex","Oregon","Baker","54563","July 22","August 12","Lightning-caused fires. Caused closures of Interstate 84 in eastern Oregon. Includes the Thompson and Coyote fires.",18.4,16857,1976307.2,363640.5248
"250","Crazy Creek","Oregon","Crook","86968","July 22","September 25","Lightning-caused",12.85,26316,1911705.6,245654.1696
"251","Crazy Creek","Oregon","Wheeler","86968","July 22","September 25","Lightning-caused",15.81,1483,1098560,173682.336
"252","Telephone","Oregon","Harney","54034","July 22","August 21","Lightning-caused fires.",4.84,7526,6545734.4,316813.54496
"253","Durgan","Oregon","Crook","3245","July 22","July 25","",12.85,26316,1911705.6,245654.1696
"254","Microwave Tower","Oregon","Hood River","1312","July 22","August 12","",57.02,24466,341376,194652.5952
"255","Microwave Tower","Oregon","Wasco","1312","July 22","August 12","",18.61,27010,1532755.2,285245.74272
"256","Bighorn","Washington","Klickitat","51569","July 22","July 30","",22.75,23406,1218835.2,277285.008
"257","Whisky Canyon","Nevada","Lander","1246","July 22","July 25","",1.99,5897,3532480,70296.352
"258","Metz","California","Monterey","1100","July 23","July 25","",15.77,440572,2120531.2,334407.77024
"259","Camp Creek","Oregon","Crook","1581","July 23","July","Lightning-caused.",12.85,26316,1911705.6,245654.1696
"260","Apache","California","Ventura","1538","July 23","August 3","",13.29,844853,1186912,157740.6048
"261","Retreat","Washington","Yakima","45601","July 23","August 23","Closed US-12, caused evacuations and county-wide declaration of emergency",24.69,259982,2758662.4,681113.74656
"262","Gwen","Idaho","Latah","28820","July 24","August 8","Caused by lightning.  Firefighting efforts were complicated by dry, dead grass as fuel and steep slopes. 38 homes and 122 outbuildings were destroyed.",35.27,40616,689139.2,243059.39584
"263","Adessa","Arizona","Pinal","1424","July 24","August 11","2024 Arizona wildfires[5]",4.24,455657,3439795.2,145847.31648
"264","Stockade Canyon","Nevada","Washoe","18168","July 24","August 13","",6.13,507376,4186156.8,256611.41184
"265","Limepoint","Idaho","Adams","33084","July 24","September 22","8 miles north of Oxbow Dam. Merged with Oxbow Fire.",31.8,4690,876486.4,278722.6752
"266","Limepoint","Idaho","Latah","33084","July 24","September 22","8 miles north of Oxbow Dam. Merged with Oxbow Fire.",35.27,40616,689139.2,243059.39584
"267","Borel","California","Kern","59288","July 24","September 15","Destroyed 223 structures and damaged 29. Prompted evacuations in Kern County and destroyed the historic community of Havilah.",5.52,927179,5225548.8,288450.29376
"268","Hole In The Ground","Oregon","Malheur","98977","July 24","August 2","",1.77,31787,6355072,112484.7744
"269","Whiskey Mountain","Oregon","Harney","4357","July 24","August 8","",4.84,7526,6545734.4,316813.54496
"270","Cedar Creek","Oregon","Malheur","1546","July 24","July 30","",1.77,31787,6355072,112484.7744
"271","Grasshopper","Oregon","Malheur","2665","July 24","August 2","",1.77,31787,6355072,112484.7744
"272","Gilespie Spring","Oregon","Malheur","2556","July 24","July 25","Lightning-caused.",1.77,31787,6355072,112484.7744
"273","Thunder","Idaho","Lemhi","2474","July 24","August 8","Lightning-caused.",21.08,8118,2924249.6,616431.81568
"274","Badger","Montana","Big Horn","799","July 24","August 29","2024 Wyoming wildfires – Damage costs estimated to be over $1,000,000.[5]",7.99,12960,3210316.8,256504.31232
"275","Badger","Wyoming","Sheridan","7175","July 24","August 29","2024 Wyoming wildfires – Damage costs estimated to be over $1,000,000.[5]",13.73,31814,1616921.6,222003.33568
"276","Sugar","Idaho","Owyhee","13727","July 24","July 26","Lightning-caused.",3.44,12613,4925971.2,169453.40928
"277","Twentymile","Idaho","Elmore","4142","July 24","July 25","Lightning-caused.",10.22,28964,1984934.4,202860.29568
"278","Wapiti","Idaho","Boise","129063","July 24","October 31","Caused by lightning.",30.2,7833,1220435.2,368571.4304
"279","Wapiti","Idaho","Custer","129063","July 24","October 31","Caused by lightning.",15.83,4453,3160704,500339.4432
"280","Dove","Idaho","Elmore","3260","July 24","July 28","Lightning-caused.",10.22,28964,1984934.4,202860.29568
"281","Dove","Idaho","Owyhee","3260","July 24","July 28","Lightning-caused.",3.44,12613,4925971.2,169453.40928
"282","Wolf Creek","Idaho","Adams","1154","July 24","September 4","",31.8,4690,876486.4,278722.6752
"283","Wolf Creek","Idaho","Valley","1154","July 24","September 4","",27.76,12544,2389440,663308.544
"284","San Clemente Island","California","Los Angeles","13000","July 24","July 30","Burned more than one-third of San Clemente Island, damaging electrical infrastructure for the naval base there.",9.64,9965925,2614444.8,252032.47872
"285","Sand Stone","Arizona","Maricopa","27390","July 25","August 22","2024 Arizona wildfires[5]",2.72,4613696,5904640,160606.208
"286","Railroad","Montana","Ravalli","1583","July 25","November 6","",29.88,46371,1536217.6,459021.81888
"287","Wye","Idaho","Idaho","13137","July 25","November 4","Caused by lightning. Was unstaffed due to higher priority fires.",41.82,17307,5442284.8,2275963.50336
"288","Poison Creek","Oregon","Grant","1060","July 25","August 7","",28.93,7186,2898252.8,838464.53504
"289","Sand","Oregon","Grant","7582","July 25","August 15","Lightning-caused.",28.93,7186,2898252.8,838464.53504
"290","Powerline Road","Oregon","Umatilla","1500","July 25","August 1","Also referred to as the Walla Walla River Road Fire.",18.07,81616,2068172.8,373718.82496
"291","Cliff Mountain","Idaho","Adams","1108","July 25","August 20","",31.8,4690,876486.4,278722.6752
"292","Cliff Mountain","Idaho","Idaho","1108","July 25","August 20","",41.82,17307,5442284.8,2275963.50336
"293","Ace Butte","Idaho","Idaho","1962","July 25","October 23","Lightning-caused.",41.82,17307,5442284.8,2275963.50336
"294","Waterman","Arizona","Yavapai","3059","July 25","July 31","",9.21,246111,5201484.8,479056.75008
"295","Grouse","Montana","Beaverhead","6228","July 25","October 28","Estimated damage costs over $12,000,000.[5][95]",18.37,9387,3566681.6,655199.40992
"296","Johnson","Montana","Ravalli","8438","July 25","November 5","Estimated damage cost over $10,000,000.[5][95]",29.88,46371,1536217.6,459021.81888
"297","Summit","Arizona","Graham","5905","July 26","August 24","2024 Arizona wildfires – Estimated damage costs over $50,000.[5]",10.37,39500,2969734.4,307961.45728
"298","Brushy","Arizona","Graham","8284","July 27","August 24","2024 Arizona wildfires – Estimated damage costs over $60,000.[5]",10.37,39500,2969734.4,307961.45728
"299","104","Colorado","Weld","1782","July 28","July 31","2024 Colorado wildfires[5]",1.87,357495,2570720,48072.464
"300","Anchor","Idaho","Idaho","1890","July 28","October 23","Lightning-caused.",41.82,17307,5442284.8,2275963.50336
"301","Blizzard Heights","Wyoming","Converse","1957","July 28","July 29","2024 Wyoming wildfires[5]",4.02,13676,2729638.4,109731.46368
"302","Beaver Creek","Wyoming","Campbell","1081","July 28","August 31","2024 Wyoming wildfires[5]",2.41,46568,3076044.8,74132.67968
"303","Broom Canyon","Nevada","Nye","8217","July 29","2024","Started by lightning.",3.71,54010,11647097.6,432107.32096
"304","Broom Canyon","Nevada","White Pine","8217","July 29","2024","Started by lightning.",3.76,9013,5693254.4,214066.36544
"305","Lower Granite","Washington","Garfield","14482","July 29","August 2","At least one structure destroyed.",13.12,2322,459705.6,60313.37472
"306","Alexander Mountain","Colorado","Larimer","9624","July 29","August 17","2024 Colorado wildfires – Estimated damage costs over $12,000,000.[5]",20.11,375558,1685753.6,339005.04896
"307","Nixon","California","Riverside","5222","July 29","August 7","Forced evacuations near Anza. Destroyed 23 structures and damaged three. Human caused.",3.63,2483025,4673932.8,169663.76064
"308","Nixon","California","San Diego","5222","July 29","August 7","Forced evacuations near Anza. Destroyed 23 structures and damaged three. Human caused.",10.79,3325723,2711238.4,292542.62336
"309","Pedro","California","Mariposa","3815","July 30","August 8","Destroyed two structures.",19.44,16927,936211.2,181999.45728
"310","Pedro","California","Tuolumne","3815","July 30","August 8","Destroyed two structures.",27.49,55584,1455648,400157.6352
"311","Travin","South Dakota","Harding","8054","July 29","September 5","[5]",1.86,1331,1713996.8,31880.34048
"312","Limpert 1","South Dakota","Harding","1498","July 29","July 30","[5]",1.86,1331,1713996.8,31880.34048
"313","Stone Canyon","Colorado","Boulder","157","July 30","August 8","2024 Colorado wildfires – Estimated damage costs over $6,000,000.[5]",23.8,337093,473900.8,112788.3904
"314","Stone Canyon","Colorado","Larimer","157","July 30","August 8","2024 Colorado wildfires – Estimated damage costs over $6,000,000.[5]",20.11,375558,1685753.6,339005.04896
"315","Pleasant Valley","Wyoming","Platte","28984","July 30","August 5","2024 Wyoming wildfires – Estimated damage costs over $5,000,000.[5]",2.82,8571,1350937.6,38096.44032
"316","Pleasant Valley","Wyoming","Goshen","28984","July 30","August 5","2024 Wyoming wildfires – Estimated damage costs over $5,000,000.[5]",1.53,12308,1428582.4,21857.31072
"317","Cold Springs","Wyoming","Converse","1846","July 30","September 24","2024 Wyoming wildfires[5]",4.02,13676,2729638.4,109731.46368
"318","West AER Motor","Texas","Cottle","1761","July 31","August 2","2024 Texas wildfires[5]",7.87,1345,577036.8,45412.79616
"319","Hag","Utah","Box Elder","3610","July 31","August 1","",2.61,60733,4306720,112405.392
"320","Bucktail","Colorado","Montrose","7192","August 1","August 21","2024 Colorado wildfires – Estimated damage costs over $10,000,000.[5]",14.35,43640,1435424,205983.344
"321","Wildcat Creek","Wyoming","Campbell","18810","August 2","August 15","2024 Wyoming wildfires – Estimated damage costs over $2,000,000.[5]",2.41,46568,3076044.8,74132.67968
"322","Wildcat Creek","Wyoming","Weston","18810","August 2","August 15","2024 Wyoming wildfires – Estimated damage costs over $2,000,000.[5]",4.21,6692,1536012.8,64666.13888
"323","Skeleton","Arizona","Yavapai","24034","August 3","August 24","2024 Arizona wildfires – Estimated damage costs over $4,000,000.[5]",9.21,246111,5201484.8,479056.75008
"324","Coffee Pot","California","Tulare","14104","August 3","December 16","Burned in Sequoia National Park. Injured three firefighters. Started by lightning.",14.91,482425,3096505.6,461688.98496
"325","Deer Creek","Wyoming","Sheridan","6700","August 3","August 25","2024 Wyoming wildfires – Estimated damage costs over $750,000.[5]",13.73,31814,1616921.6,222003.33568
"326","Deer Creek","Wyoming","Campbell","6700","August 3","August 25","2024 Wyoming wildfires – Estimated damage costs over $750,000.[5]",2.41,46568,3076044.8,74132.67968
"327","Deer Creek","Wyoming","Johnson","6700","August 3","August 25","2024 Wyoming wildfires – Estimated damage costs over $750,000.[5]",8.62,8490,2671744,230304.3328
"328","Gardner","Idaho","Blaine","1162","August 3","August 17","[233]",11.45,25354,1699187.2,194556.9344
"329","Bartlett","Arizona","Maricopa","6161","August 4","August 29","2024 Arizona wildfires – Estimated damage costs over $1,500,000.[5]",2.72,4613696,5904640,160606.208
"330","Elk Lane","Oregon","Jefferson","5176","August 4","August 14","Lightning-caused.",17.08,25409,1146764.8,195867.42784
"331","Clair","Arizona","Maricopa","2170","August 4","August 29","2024 Arizona wildfires – Estimated damage costs over $1,500,000.[5]",2.72,4613696,5904640,160606.208
"332","Sheep","Arizona","Gila","2483","August 4","September 3","2024 Arizona wildfires – Estimated damage costs over $30,000.[5]",15.77,53901,3068684.8,483931.59296
"333","Hopkin","Montana","Carter","1130","August 4","August 5","Damage costs estimated to be over $100,000.[5]",2.35,1444,2142726.4,50354.0704
"334","Jump","Idaho","Owyhee","25741","August 5","August 7","Lightning-caused.",3.44,12613,4925971.2,169453.40928
"335","Shirley","Montana","Powder River","1230","August 5","August 9","",5.05,1684,2111232,106617.216
"336","Town Gulch","Oregon","Baker","18234","August 5","August 19","",18.4,16857,1976307.2,363640.5248
"337","Porcupine","Oregon","Harney","6495","August 5","August 19","",4.84,7526,6545734.4,316813.54496
"338","Soldier Creek","Oregon","Malheur","11061","August 5","August 14","",1.77,31787,6355072,112484.7744
"339","Warner Peak","Oregon","Lake","65866","August 5","August 24","",8.56,8214,5349190.4,457890.69824
"340","Stewart","Montana","Powder River","1150","August 5","August 7","",5.05,1684,2111232,106617.216
"341","Williams Mine","Washington","Skamania","13092","August 5","November 1","People near Trout Lake evacuated; Mount Adams Wilderness and part of the Pacific Crest Trail closed",68.66,11807,1076448,739089.1968
"342","Bulldog","Idaho","Boise","11423","August 5","October 28","Lightning-caused.",30.2,7833,1220435.2,368571.4304
"343","Bulldog","Idaho","Valley","11423","August 5","October 28","Lightning-caused.",27.76,12544,2389440,663308.544
"344","Dollar","Idaho","Valley","4360","August 5","October 17","Lightning-caused.",27.76,12544,2389440,663308.544
"345","Flat","Idaho","Boise","3734","August 5","September 2","Lightning-caused.",30.2,7833,1220435.2,368571.4304
"346","Goat","Idaho","Valley","36718","August 5","October 28","Lightning-caused.",27.76,12544,2389440,663308.544
"347","Nellie","Idaho","Boise","50073","August 5","October 28","Lightning-caused. Merged with Anderson Fire on August 12.",30.2,7833,1220435.2,368571.4304
"348","Nellie","Idaho","Valley","50073","August 5","October 28","Lightning-caused. Merged with Anderson Fire on August 12.",27.76,12544,2389440,663308.544
"349","Paddock","Idaho","Gem","187185","August 5","August 18","Lightning-caused.",12.24,20459,361337.6,44227.72224
"350","Paddock","Idaho","Payette","187185","August 5","August 18","Lightning-caused.",3.95,26839,262604.8,10372.8896
"351","Paddock","Idaho","Washington","187185","August 5","August 18","Lightning-caused.",9.45,10449,942976,89111.232
"352","Snag","Idaho","Valley","33437","August 5","October 28","Lightning-caused.",27.76,12544,2389440,663308.544
"353","Farrow","Idaho","Idaho","3637","August 5","October 24","Lightning-caused.",41.82,17307,5442284.8,2275963.50336
"354","Basin","Idaho","Elmore","6094","August 5","August 7","Lightning-caused.",10.22,28964,1984934.4,202860.29568
"355","Oreana","Idaho","Owyhee","1219","August 6","August 9","[256]",3.44,12613,4925971.2,169453.40928
"356","Crozier","California","El Dorado","1938","August 6","August 20","",38.06,193917,1143270.4,435128.71424
"357","Dry Fork","Utah","Rich","1340","August 6","August 12","",10.2,2666,695251.2,70915.6224
"358","Element","Arizona","Mohave","5364","August 6","August 19","2024 Arizona wildfires – Estimated damage costs over $3,000,000.[5]",4.22,220962,8614937.6,363550.36672
"359","Elkhorn Ridge","Idaho","Idaho","3140","August 7","October 31","",41.82,17307,5442284.8,2275963.50336
"360","Big Gulch","Colorado","Moffat","1164","August 7","August 9","2024 Colorado wildfires – Estimated damage costs over $150,000.[5]",7.29,13164,3040569.6,221657.52384
"361","Paint Crossing","Texas","Throckmorton","2363","August 7","August 12","2024 Texas wildfires – Reportedly human-caused.[5]",9.02,1492,585907.2,52848.82944
"362","Boise","California","Humboldt","12967","August 9","September 20","Burned in Six Rivers and Klamath National Forests.",63.68,136264,2294291.2,1461004.63616
"363","Boise","California","Siskiyou","12967","August 9","September 20","Burned in Six Rivers and Klamath National Forests.",35.12,43635,4062681.6,1426813.77792
"364","Ruby","Washington","Whatcom","1336","August 9","October 31","",50,234178,1385062.4,692531.2
"365","Dixon","Oregon","Douglas","1965","August 10","August 21","",61.2,112445,3239430.4,1982531.4048
"366","Parks","Idaho","Idaho","5997","August 11","October 31","Lightning-caused.",41.82,17307,5442284.8,2275963.50336
"367","Robertson","Texas","Stephens","1610","August 12","August 14","2024 Texas wildfires – Reportedly human-caused.[5]",13.13,9021,589753.6,77434.64768
"368","Prospect","Idaho","Idaho","2937","August 12","October 31","",41.82,17307,5442284.8,2275963.50336
"369","Creek 232","Texas","Throckmorton","1241","August 13","August 14","2024 Texas wildfires[5]",9.02,1492,585907.2,52848.82944
"370","Midway Pasture","Texas","Wilbarger","1147","August 15","August 16","2024 Texas wildfires[5]",5.74,12626,625900.8,35926.70592
"371","Red Creek","Texas","Haskell","2778","August 16","August 17","2024 Texas wildfires[5]",4.87,5336,582566.4,28370.98368
"372","Dirt Road","Texas","Dickens","1524","August 16","August 20","2024 Texas wildfires[5]",5.52,1705,579340.8,31979.61216
"373","Dirt Road","Texas","King","1524","August 16","August 20","2024 Texas wildfires[5]",8.69,252,584537.6,50796.31744
"374","Birch","Idaho","Valley","23094","August 17","October 29","Lightning-caused.",27.76,12544,2389440,663308.544
"375","0672 RV","Oregon","Gilliam","5490","August 17","August 21","",2.08,2018,782617.6,16278.44608
"376","Magic Water","Idaho","Twin Falls","2368","August 17","August 18","Caused by human activity.",3.79,94601,1234361.6,46782.30464
"377","Square Lake","Idaho","Idaho","5240","August 17","October 24","Lightning-caused.",41.82,17307,5442284.8,2275963.50336
"378","Ratio Mountain","Montana","Jefferson","1966","August 18","October 31","Estimated damage cost over $1,750,000.[5][95]",23.34,12489,1062022.4,247876.02816
"379","Hobson","Nevada","White Pine","1080","August 18","August 23","",3.76,9013,5693254.4,214066.36544
"380","Daly","Montana","Ravalli","11386","August 18","November 6","Estimated damage cost over $10,000,000.[5][95]",29.88,46371,1536217.6,459021.81888
"381","Daly","Montana","Granite","11386","August 18","November 6","Estimated damage cost over $10,000,000.[5][95]",32.64,3343,1108979.2,361970.81088
"382","Peter Switch","Texas","Wichita","1658","August 18","August 19","2024 Texas wildfires[5]",6.81,129279,405030.4,27582.57024
"383","Burnt Creek","Idaho","Valley","2665","August 19","October 11","Lightning-caused.",27.76,12544,2389440,663308.544
"384","Raglan","Nevada","Humboldt","1787","August 20","September 2","",4.9,17672,6181030.4,302870.4896
"385","Stayman","Washington","Chelan","3118","August 20","August 24","",36.95,81447,1916416,708115.712
"386","Barber Draw","Montana","Big Horn","6739","August 21","August 27","Estimated damage costs over $5,000,000.[5]",7.99,12960,3210316.8,256504.31232
"387","Barber","Wyoming","Converse","1419","August 21","September 24","2024 Wyoming wildfires[5]",4.02,13676,2729638.4,109731.46368
"388","Flat Rock","Wyoming","Campbell","52421","August 21","September 25","2024 Wyoming wildfires – Estimated damage costs over $5,000,000.[5][95]",2.41,46568,3076044.8,74132.67968
"389","Constitution","Wyoming","Campbell","24630","August 21","September 14","2024 Wyoming wildfires – Estimated damage costs over $5,000,000.[5][95]",2.41,46568,3076044.8,74132.67968
"390","Geier","Wyoming","Weston","1474","August 21","September 24","",4.21,6692,1536012.8,64666.13888
"391","House Draw","Wyoming","Johnson","174547","August 21","September 17","2024 Wyoming wildfires – Estimated damage costs over $2,000,000.[5][95]",8.62,8490,2671744,230304.3328
"392","Sage Creek","South Dakota","Pennington","1959","August 21","September 13","[274]",3.33,112789,1782054.4,59342.41152
"393","Range 77","Nevada","Nye","7876","August 22","August 25","",3.71,54010,11647097.6,432107.32096
"394","Island Fire","New Mexico","Union","1600","August 22","August 28","",3.31,4016,2451859.2,81156.53952
"395","Reynolds","Idaho","Lemhi","2671","August 22","October 31","Lightning-caused.",21.08,8118,2924249.6,616431.81568
"396","Magruder Ridge","Idaho","Idaho","3778","August 22","October 31","",41.82,17307,5442284.8,2275963.50336
"397","Remington","Montana","Rosebud","80000","August 22","September 21","Damage costs estimated to be over $10,000,000.[5][95]",3.55,8014,3216134.4,114172.7712
"398","Remington","Montana","Big Horn","80000","August 22","September 21","Damage costs estimated to be over $10,000,000.[5][95]",7.99,12960,3210316.8,256504.31232
"399","Remington","Wyoming","Sheridan","18184","August 22","September 21","Damage costs estimated to be over $10,000,000.[5][95]",13.73,31814,1616921.6,222003.33568
"400","Remington","Wyoming","Campbell","18184","August 22","September 21","Damage costs estimated to be over $10,000,000.[5][95]",2.41,46568,3076044.8,74132.67968
"401","Chalky Point","Montana","Rosebud","1304","August 22","August 25","[5]",3.55,8014,3216134.4,114172.7712
"402","Chalky Point","Montana","Big Horn","1304","August 22","August 25","[5]",7.99,12960,3210316.8,256504.31232
"403","North Art","Texas","Mason","4355","August 22","August 25","2024 Texas wildfires[5]",8.59,3881,596620.8,51249.72672
"404","Big Hollow","Montana","Beaverhead","3435","August 23","September 5","Estimated damage costs over $3,000,000.[5]",18.37,9387,3566681.6,655199.40992
"405","Sharrott Creek","Montana","Ravalli","3204","August 23","2024","Estimated damage cost over $30,000,000.[5][95]",29.88,46371,1536217.6,459021.81888
"406","Halfway","Idaho","Idaho","1502","August 25","{November 4","Lightning-caused.",41.82,17307,5442284.8,2275963.50336
"407","Preacher","Arizona","Gila","3167","August 29","September 23","2024 Arizona wildfires – Estimated damage costs over $1,000,000.[5][95]",15.77,53901,3068684.8,483931.59296
"408","Black Mesa 2","Arizona","Yavapai","2605","August 31","September 8","",9.21,246111,5201484.8,479056.75008
"409","Long Gulch","Arizona","Yavapai","1227","August 31","September 23","2024 Arizona wildfires – Estimated damage costs over $7,000.[5][95]",9.21,246111,5201484.8,479056.75008
"410","Wood","Arizona","Pinal","7211","September 1","September 13","2024 Arizona wildfires – Estimated damage cost over $350,000.[5][95]",4.24,455657,3439795.2,145847.31648
"411","Copperfield","Oregon","Klamath","3822","September 1","September 16","",27.98,70238,3927820.8,1099004.25984
"412","Conroy Road","Oregon","Wasco","1500","September 1","September 2","",18.61,27010,1532755.2,285245.74272
"413","Silver Spoon","Wyoming","Campbell","1721","September 1","September 8","2024 Wyoming wildfires – Estimated damage costs over $3,000,000.",2.41,46568,3076044.8,74132.67968
"414","West","Arizona","Gila","15074","September 1","unknown","",15.77,53901,3068684.8,483931.59296
"415","Bear","California","Sierra","3323","September 2","September 19","",43.42,3197,615782.4,267372.71808
"416","Lava","Idaho","Gem","97585","September 2","October 25","Caused by lightning, merged with the Boulder Fire",12.24,20459,361337.6,44227.72224
"417","Syrup","Idaho","Elmore","5129","September 2","September 3","Lightning-caused.",10.22,28964,1984934.4,202860.29568
"418","Wiley Flat","Oregon","Crook","30185","September 2","October 11","",12.85,26316,1911705.6,245654.1696
"419","Mineral","Idaho","Washington","15392","September 2","September 8","Lightning-caused.",9.45,10449,942976,89111.232
"420","Chimney","Idaho","Elmore","6522","September 2","October 29","Lightning-caused.",10.22,28964,1984934.4,202860.29568
"421","Chimney","Idaho","Camas","6522","September 2","October 29","Lightning-caused.",13.92,1063,690361.6,96098.33472
"422","Shoe Fly","Oregon","Wheeler","26817","September 2","September 15","",15.81,1483,1098560,173682.336
"423","Oak Canyon","Oregon","Wasco","15170","September 2","September 6","",18.61,27010,1532755.2,285245.74272
"424","Oak Canyon","Oregon","Sherman","15170","September 2","September 6","",1.94,1906,531961.6,10320.05504
"425","Bigflat","Idaho","Washington","3662","September 2","September 4","Lightning-caused.",9.45,10449,942976,89111.232
"426","Glendale","Idaho","Blaine","7546","September 2","September 5","Lightning-caused.",11.45,25354,1699187.2,194556.9344
"427","Copper","Idaho","Valley","2129","September 2","October 24","Lightning-caused.",27.76,12544,2389440,663308.544
"428","Red Rock","Idaho","Lemhi","79260","September 2","October 29","Lightning-caused. Merged with the Black Eagle Fire on October 5.",21.08,8118,2924249.6,616431.81568
